error_code;meaning (internal_message)

1;Inconsistent dates in core/models.py
30;Type Error raised by lastname in users/models.py
31;Type Error raised by permissions in users/models.py
32;Empty field raised by username in users/models.py
33;Empty field raised by password in users/models.py
34;Empty field raised by email in users/models.py
35;Type Error raised by username in users/models.py
36;Type Error raised by password in users/models.py
37;Type Error raised by email in users/models.py
38;Type Error raised by firstname in users/models.py